355.0-005.0   1    N/A  12.00
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0 N/A    N/A    N/A
035.0-045.0   2   2.10  14.50
045.0-055.0   3   3.64  17.67
055.0-065.0   4   3.78  20.88
065.0-075.0   9   1.55  21.53
075.0-085.0  14   3.82  20.94
085.0-095.0  11   2.63  15.15
095.0-105.0  11   2.67  15.83
105.0-115.0   8   2.26  16.41
115.0-125.0   2   2.75  12.45
125.0-135.0 N/A    N/A    N/A
135.0-145.0   3   0.79   8.97
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0   1    N/A  10.10
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0   2   2.90   9.20
225.0-235.0   2   0.70  10.30
235.0-245.0   2   0.30   4.70
245.0-255.0   6   1.50   7.28
255.0-265.0  11   2.56  13.60
265.0-275.0  13   3.75  14.82
275.0-285.0  10   1.21  11.47
285.0-295.0  12   1.99  11.89
295.0-305.0   5   3.79  15.18
305.0-315.0   1    N/A  16.40
315.0-325.0   3   1.69  10.60
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
