355.0-005.0   1    N/A   9.60
005.0-015.0 N/A    N/A    N/A
015.0-025.0   3   1.31  15.17
025.0-035.0   3   4.84  17.50
035.0-045.0 N/A    N/A    N/A
045.0-055.0   6   4.98  19.43
055.0-065.0   7   3.75  19.44
065.0-075.0   4   1.90  18.35
075.0-085.0   6   2.89  19.83
085.0-095.0   9   2.47  14.82
095.0-105.0   5   2.51  14.98
105.0-115.0   5   1.51  16.08
115.0-125.0   5   0.98  15.52
125.0-135.0   2   0.45  13.75
135.0-145.0   5   3.48  18.44
145.0-155.0   4   1.97  12.10
155.0-165.0 N/A    N/A    N/A
165.0-175.0   3   2.20  15.53
175.0-185.0   1    N/A  15.70
185.0-195.0 N/A    N/A    N/A
195.0-205.0   3   0.97  13.23
205.0-215.0   2   0.65   8.45
215.0-225.0   1    N/A  13.40
225.0-235.0   4   0.68   8.38
235.0-245.0   6   1.45   8.45
245.0-255.0   4   1.56   9.47
255.0-265.0   7   2.25  14.07
265.0-275.0   8   3.90  13.20
275.0-285.0   5   1.41  13.54
285.0-295.0   6   1.71  13.15
295.0-305.0   4   0.67  17.55
305.0-315.0   5   2.40  18.74
315.0-325.0   5   3.55  11.78
325.0-335.0   3   2.05  10.00
335.0-345.0   1    N/A  11.80
345.0-355.0   3   0.60  10.67
