355.0-005.0   2   1.75  12.25
005.0-015.0 N/A    N/A    N/A
015.0-025.0   3   4.26  14.50
025.0-035.0 N/A    N/A    N/A
035.0-045.0   3   1.58  19.10
045.0-055.0   2   1.95  24.55
055.0-065.0   6   2.81  18.18
065.0-075.0   5   3.15  22.70
075.0-085.0   5   3.09  21.24
085.0-095.0  12   2.41  16.75
095.0-105.0   9   2.62  17.80
105.0-115.0   2   0.60  17.50
115.0-125.0   6   2.50  18.65
125.0-135.0   2   0.80  25.10
135.0-145.0   5   3.17  19.62
145.0-155.0   4   1.82  15.40
155.0-165.0 N/A    N/A    N/A
165.0-175.0   2   1.35  12.95
175.0-185.0   2   0.05   9.15
185.0-195.0 N/A    N/A    N/A
195.0-205.0   3   0.08   7.50
205.0-215.0 N/A    N/A    N/A
215.0-225.0   3   0.74   7.27
225.0-235.0 N/A    N/A    N/A
235.0-245.0   5   1.95   8.78
245.0-255.0   5   3.35  12.04
255.0-265.0   4   3.95  15.55
265.0-275.0  11   1.90  13.80
275.0-285.0   9   1.82  11.48
285.0-295.0   7   1.32  13.27
295.0-305.0   4   0.90  18.75
305.0-315.0   3   3.89  15.90
315.0-325.0   4   2.55  16.50
325.0-335.0   5   2.22  11.88
335.0-345.0   1    N/A  14.40
345.0-355.0   2   0.85  13.05
