355.0-005.0   4   2.07  13.70
005.0-015.0   4   1.92  14.35
015.0-025.0   4   2.99  16.25
025.0-035.0   4   5.14  18.60
035.0-045.0   2   1.05  18.95
045.0-055.0   4   3.61  20.60
055.0-065.0   4   5.93  23.32
065.0-075.0   3   1.22  20.20
075.0-085.0   7   4.61  21.96
085.0-095.0   8   2.85  16.89
095.0-105.0   6   3.18  15.02
105.0-115.0   3   1.64  17.10
115.0-125.0   2   3.30  15.80
125.0-135.0   3   2.03  17.00
135.0-145.0   1    N/A  18.70
145.0-155.0   1    N/A  16.30
155.0-165.0   5   3.50  16.74
165.0-175.0   4   1.91  13.40
175.0-185.0   3   0.33  13.97
185.0-195.0   3   1.54  12.33
195.0-205.0   4   1.15  10.30
205.0-215.0   4   2.04   9.85
215.0-225.0   2   0.65   7.95
225.0-235.0   4   1.90   7.07
235.0-245.0   3   0.38   9.23
245.0-255.0   4   2.75  10.07
255.0-265.0   4   3.10  11.70
265.0-275.0   9   1.28  14.74
275.0-285.0   6   1.75  11.78
285.0-295.0   6   2.26  13.25
295.0-305.0   1    N/A  12.00
305.0-315.0   3   3.80  18.70
315.0-325.0   2   0.10  15.50
325.0-335.0   1    N/A  10.10
335.0-345.0   5   2.04   9.98
345.0-355.0   3   1.43  11.07
