355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0   1    N/A  11.00
025.0-035.0   1    N/A  10.30
035.0-045.0 N/A    N/A    N/A
045.0-055.0   2   4.95  16.05
055.0-065.0   6   3.96  22.67
065.0-075.0   8   3.66  21.41
075.0-085.0  15   3.91  18.70
085.0-095.0  11   3.08  17.05
095.0-105.0  12   2.46  15.35
105.0-115.0   8   3.16  13.30
115.0-125.0   1    N/A  14.70
125.0-135.0   1    N/A  15.00
135.0-145.0   1    N/A  14.50
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0   1    N/A  10.40
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0   1    N/A  12.50
205.0-215.0 N/A    N/A    N/A
215.0-225.0   1    N/A   4.70
225.0-235.0   1    N/A   7.70
235.0-245.0   4   3.80   8.78
245.0-255.0   5   3.09   6.82
255.0-265.0  11   2.39  13.15
265.0-275.0  14   2.98  14.23
275.0-285.0  10   1.06  11.51
285.0-295.0  13   2.24  11.67
295.0-305.0   5   3.20  12.90
305.0-315.0 N/A    N/A    N/A
315.0-325.0   2   0.10  12.40
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0   1    N/A  10.60
