355.0-005.0   2   0.25  10.15
005.0-015.0   2   0.20  15.20
015.0-025.0 N/A    N/A    N/A
025.0-035.0   2   5.05  17.65
035.0-045.0   1    N/A  23.60
045.0-055.0   5   5.68  21.14
055.0-065.0   7   4.80  20.73
065.0-075.0   8   4.47  20.29
075.0-085.0   6   1.70  16.80
085.0-095.0   9   1.50  13.78
095.0-105.0   5   1.99  13.78
105.0-115.0   4   2.70  17.40
115.0-125.0   4   1.43  18.43
125.0-135.0   6   2.71  14.07
135.0-145.0   3   2.10  15.80
145.0-155.0   2   1.15  14.45
155.0-165.0   1    N/A  12.10
165.0-175.0   1    N/A  15.20
175.0-185.0   2   1.55  12.45
185.0-195.0   2   1.25  15.35
195.0-205.0 N/A    N/A    N/A
205.0-215.0   2   1.60   8.70
215.0-225.0   1    N/A  13.20
225.0-235.0   4   1.71   7.80
235.0-245.0   7   1.85   8.11
245.0-255.0   5   1.98  10.56
255.0-265.0   8   2.86  14.80
265.0-275.0  10   1.43  13.30
275.0-285.0   3   2.79  10.53
285.0-295.0   6   1.32  12.70
295.0-305.0   5   1.84  19.00
305.0-315.0   4   2.34  14.80
315.0-325.0   5   3.01  14.76
325.0-335.0   2   0.60  11.30
335.0-345.0   1    N/A  11.30
345.0-355.0   1    N/A   9.90
