355.0-005.0   5   1.53  11.86
005.0-015.0   2   1.50  15.10
015.0-025.0   7   2.77  15.87
025.0-035.0   1    N/A  25.00
035.0-045.0   3   4.05  20.13
045.0-055.0   3   1.70  20.40
055.0-065.0   7   5.24  20.70
065.0-075.0   5   3.89  23.14
075.0-085.0   9   3.67  19.91
085.0-095.0   6   3.61  16.37
095.0-105.0   3   4.01  21.00
105.0-115.0   1    N/A  13.80
115.0-125.0   4   3.90  16.70
125.0-135.0   1    N/A  21.50
135.0-145.0   2   2.65  20.75
145.0-155.0   4   2.61  15.65
155.0-165.0   1    N/A  15.40
165.0-175.0   3   2.75  15.23
175.0-185.0   5   3.70  12.94
185.0-195.0   2   1.00  12.10
195.0-205.0   5   1.12  10.38
205.0-215.0   3   1.62   9.57
215.0-225.0   2   0.95   9.55
225.0-235.0   3   1.02   7.30
235.0-245.0   7   0.65   8.59
245.0-255.0   3   3.36   9.07
255.0-265.0   7   2.25  14.17
265.0-275.0  10   3.48  14.57
275.0-285.0   3   1.69  14.73
285.0-295.0   2   0.15  12.55
295.0-305.0   3   3.47  14.30
305.0-315.0   2   1.20  20.40
315.0-325.0   2   1.10  13.50
325.0-335.0   4   1.88  11.38
335.0-345.0   1    N/A  10.20
345.0-355.0   3   1.72  10.53
