355.0-005.0 N/A    N/A    N/A
005.0-015.0   2   0.60  13.10
015.0-025.0 N/A    N/A    N/A
025.0-035.0 N/A    N/A    N/A
035.0-045.0   2   3.20  12.90
045.0-055.0   3   2.37  18.37
055.0-065.0   4   1.13  19.38
065.0-075.0   6   3.68  20.70
075.0-085.0   7   1.68  17.43
085.0-095.0  12   3.04  16.65
095.0-105.0   9   2.17  13.96
105.0-115.0   7   1.58  13.77
115.0-125.0   9   2.47  14.57
125.0-135.0   3   2.02  15.03
135.0-145.0   1    N/A  12.10
145.0-155.0   3   2.07  15.13
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0   2   0.30  11.00
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0   2   4.05   7.75
225.0-235.0   2   3.20  14.20
235.0-245.0   3   1.96   7.70
245.0-255.0   4   1.41   7.72
255.0-265.0   6   2.52  14.20
265.0-275.0  11   1.21  14.49
275.0-285.0   9   1.69  12.29
285.0-295.0   7   2.39   9.89
295.0-305.0  11   3.06  13.90
305.0-315.0   7   2.50  15.87
315.0-325.0 N/A    N/A    N/A
325.0-335.0   4   1.10   9.50
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
