355.0-005.0   2   0.40  10.00
005.0-015.0 N/A    N/A    N/A
015.0-025.0   3   0.85  12.43
025.0-035.0   3   2.39  22.03
035.0-045.0   4   4.40  21.05
045.0-055.0   6   3.48  19.82
055.0-065.0   7   3.71  23.99
065.0-075.0   4   3.30  19.77
075.0-085.0   6   1.67  20.12
085.0-095.0   9   3.55  16.14
095.0-105.0   6   2.35  13.47
105.0-115.0   5   1.32  15.54
115.0-125.0   5   1.93  13.56
125.0-135.0   4   2.59  13.57
135.0-145.0   1    N/A  12.00
145.0-155.0   1    N/A  18.30
155.0-165.0   2   3.00  17.30
165.0-175.0   1    N/A  13.20
175.0-185.0   1    N/A  10.90
185.0-195.0 N/A    N/A    N/A
195.0-205.0   3   2.03  11.90
205.0-215.0   3   1.72  11.33
215.0-225.0   2   0.15   8.95
225.0-235.0   6   1.99   9.08
235.0-245.0   6   1.34   8.45
245.0-255.0   6   2.32  10.57
255.0-265.0   5   2.08  13.58
265.0-275.0   9   2.89  12.86
275.0-285.0   6   1.80  11.57
285.0-295.0   6   1.37  12.07
295.0-305.0   5   2.12  15.24
305.0-315.0   5   3.18  14.12
315.0-325.0   1    N/A  10.10
325.0-335.0   1    N/A  11.70
335.0-345.0   1    N/A   9.60
345.0-355.0   1    N/A  11.50
