355.0-005.0 N/A    N/A    N/A
005.0-015.0   1    N/A  15.00
015.0-025.0   3   2.49  13.33
025.0-035.0   4   2.43  17.65
035.0-045.0   6   2.72  20.80
045.0-055.0   7   2.35  22.40
055.0-065.0   8   3.57  22.50
065.0-075.0   5   1.94  22.48
075.0-085.0   6   4.96  21.15
085.0-095.0   4   2.85  20.48
095.0-105.0   5   1.86  19.08
105.0-115.0   8   1.94  15.06
115.0-125.0   4   3.28  15.62
125.0-135.0   1    N/A  15.40
135.0-145.0   2   2.25  12.95
145.0-155.0 N/A    N/A    N/A
155.0-165.0   2   1.10  16.50
165.0-175.0   2   3.10  19.00
175.0-185.0 N/A    N/A    N/A
185.0-195.0   1    N/A  14.10
195.0-205.0   3   0.74  11.47
205.0-215.0   3   0.08  13.70
215.0-225.0   5   2.45  10.32
225.0-235.0   7   1.47   7.71
235.0-245.0   7   1.30   8.09
245.0-255.0   5   3.00   9.74
255.0-265.0   7   3.27  12.83
265.0-275.0   5   0.95  13.12
275.0-285.0   4   1.00  11.95
285.0-295.0   8   1.39  14.48
295.0-305.0   6   3.61  14.80
305.0-315.0   1    N/A  14.70
315.0-325.0   2   1.95  10.45
325.0-335.0 N/A    N/A    N/A
335.0-345.0   2   1.30  12.90
345.0-355.0   2   3.00  13.10
