355.0-005.0 N/A    N/A    N/A
005.0-015.0   1    N/A  18.10
015.0-025.0   3   3.10  16.47
025.0-035.0   4   1.28  19.82
035.0-045.0   4   2.08  22.58
045.0-055.0   5   1.92  24.16
055.0-065.0   9   3.36  25.49
065.0-075.0  10   1.81  23.77
075.0-085.0  13   2.22  20.54
085.0-095.0   5   2.94  19.18
095.0-105.0   2   0.85  20.05
105.0-115.0   1    N/A  20.60
115.0-125.0   5   3.57  18.08
125.0-135.0 N/A    N/A    N/A
135.0-145.0   2   1.10  13.70
145.0-155.0   1    N/A  17.20
155.0-165.0   1    N/A  11.40
165.0-175.0   2   0.20  10.80
175.0-185.0 N/A    N/A    N/A
185.0-195.0   1    N/A   9.90
195.0-205.0   3   1.16   5.97
205.0-215.0   2   0.25   7.85
215.0-225.0   4   0.91   7.22
225.0-235.0   5   1.99   6.74
235.0-245.0   6   2.15   6.10
245.0-255.0   8   3.19  11.97
255.0-265.0  13   2.13  16.68
265.0-275.0  11   2.65  17.82
275.0-285.0   2   1.30  13.50
285.0-295.0   1    N/A  16.20
295.0-305.0   4   1.59  13.67
305.0-315.0   2   2.40  16.50
315.0-325.0   2   0.80  13.10
325.0-335.0   1    N/A  13.10
335.0-345.0   1    N/A  15.40
345.0-355.0   2   0.45  14.95
