355.0-005.0   3   0.14   9.70
005.0-015.0   7   3.03  12.27
015.0-025.0   8   2.18  15.36
025.0-035.0  14   3.39  20.34
035.0-045.0   6   2.25  23.12
045.0-055.0   7   4.11  23.64
055.0-065.0   3   1.49  24.67
065.0-075.0   2   0.40  19.90
075.0-085.0   3   3.18  24.67
085.0-095.0   1    N/A  23.80
095.0-105.0 N/A    N/A    N/A
105.0-115.0 N/A    N/A    N/A
115.0-125.0   1    N/A  12.90
125.0-135.0   1    N/A  15.00
135.0-145.0   4   1.95  11.60
145.0-155.0   1    N/A  16.60
155.0-165.0   4   0.94  12.82
165.0-175.0   4   3.43  16.30
175.0-185.0   2   0.85  14.85
185.0-195.0   5   2.04  14.24
195.0-205.0  10   2.96   9.94
205.0-215.0  10   1.52   8.73
215.0-225.0   9   1.19   7.67
225.0-235.0   6   1.24   6.68
235.0-245.0   3   2.19   7.23
245.0-255.0   3   1.16  12.03
255.0-265.0   2   2.10  14.10
265.0-275.0   2   3.00  11.30
275.0-285.0   1    N/A   9.10
285.0-295.0 N/A    N/A    N/A
295.0-305.0   1    N/A  16.00
305.0-315.0 N/A    N/A    N/A
315.0-325.0   4   0.54  12.88
325.0-335.0   2   1.00  10.00
335.0-345.0   4   0.87  10.85
345.0-355.0   3   1.10  10.13
