355.0-005.0   2   0.40  13.60
005.0-015.0   1    N/A  17.70
015.0-025.0   3   2.82  21.10
025.0-035.0   4   2.83  19.95
035.0-045.0   6   3.56  21.78
045.0-055.0   7   0.93  21.57
055.0-065.0   9   3.12  22.93
065.0-075.0  14   3.74  23.66
075.0-085.0   7   3.71  20.46
085.0-095.0   1    N/A  16.00
095.0-105.0   1    N/A  16.50
105.0-115.0   2   1.65  20.05
115.0-125.0   3   1.86  15.03
125.0-135.0   2   0.70  16.30
135.0-145.0 N/A    N/A    N/A
145.0-155.0   2   3.95  14.05
155.0-165.0   3   1.70  14.37
165.0-175.0   1    N/A  10.50
175.0-185.0   2   1.25  10.35
185.0-195.0   1    N/A   3.70
195.0-205.0   3   0.46   9.27
205.0-215.0   4   0.79   7.70
215.0-225.0   5   0.77   7.28
225.0-235.0   6   1.32   7.00
235.0-245.0   6   1.55   8.80
245.0-255.0  10   2.38  10.76
255.0-265.0  13   2.14  14.20
265.0-275.0   3   1.97  18.27
275.0-285.0   2   0.10  14.40
285.0-295.0 N/A    N/A    N/A
295.0-305.0   4   0.51  11.57
305.0-315.0   3   1.56  15.87
315.0-325.0 N/A    N/A    N/A
325.0-335.0   1    N/A  10.70
335.0-345.0   4   1.88  13.77
345.0-355.0   1    N/A  11.80
