355.0-005.0   1    N/A  17.20
005.0-015.0 N/A    N/A    N/A
015.0-025.0   2   1.40  15.40
025.0-035.0   1    N/A  19.40
035.0-045.0   1    N/A  21.10
045.0-055.0   5   4.64  21.56
055.0-065.0   3   1.53  27.30
065.0-075.0   7   3.07  24.34
075.0-085.0   6   3.12  22.77
085.0-095.0   5   2.32  20.04
095.0-105.0   7   2.56  18.89
105.0-115.0   8   1.86  18.30
115.0-125.0   5   2.30  16.88
125.0-135.0   7   3.42  14.66
135.0-145.0   3   1.30  17.23
145.0-155.0   3   2.95  19.40
155.0-165.0   2   0.30  20.00
165.0-175.0   2   0.05  22.05
175.0-185.0   1    N/A  21.20
185.0-195.0 N/A    N/A    N/A
195.0-205.0   2   1.50  11.30
205.0-215.0   1    N/A  16.50
215.0-225.0 N/A    N/A    N/A
225.0-235.0   5   2.51   9.50
235.0-245.0   3   3.01  10.77
245.0-255.0   4   1.66  11.25
255.0-265.0   6   1.39  16.30
265.0-275.0   5   0.96  19.28
275.0-285.0   7   2.99  15.13
285.0-295.0   8   1.94  14.09
295.0-305.0   5   0.91  19.02
305.0-315.0   6   6.00  19.15
315.0-325.0   8   3.71  17.38
325.0-335.0   3   0.97  12.07
335.0-345.0   1    N/A   9.60
345.0-355.0   3   1.95  13.43
