355.0-005.0   1    N/A  10.50
005.0-015.0   4   3.82  19.70
015.0-025.0   5   2.78  17.30
025.0-035.0   6   3.14  22.80
035.0-045.0   8   1.65  22.64
045.0-055.0   7   2.88  27.61
055.0-065.0  12   3.69  24.53
065.0-075.0   9   3.72  23.48
075.0-085.0   1    N/A  23.20
085.0-095.0   1    N/A  15.20
095.0-105.0   2   3.75  19.05
105.0-115.0   1    N/A  18.40
115.0-125.0   1    N/A  14.70
125.0-135.0 N/A    N/A    N/A
135.0-145.0   2   1.05  15.85
145.0-155.0   2   4.75  14.85
155.0-165.0   3   1.87  16.50
165.0-175.0   3   0.83  12.23
175.0-185.0   1    N/A   3.80
185.0-195.0   3   1.13   8.70
195.0-205.0   5   2.35   9.40
205.0-215.0   6   0.88   7.98
215.0-225.0   6   0.99   8.07
225.0-235.0   7   1.13   7.16
235.0-245.0   7   1.57   5.76
245.0-255.0  12   2.27   8.53
255.0-265.0   6   2.49  12.33
265.0-275.0   1    N/A  10.50
275.0-285.0   2   0.85  12.95
285.0-295.0 N/A    N/A    N/A
295.0-305.0   2   0.65  11.65
305.0-315.0 N/A    N/A    N/A
315.0-325.0   2   3.30  17.20
325.0-335.0   1    N/A  10.70
335.0-345.0   4   0.76  13.20
345.0-355.0   3   0.66  12.67
