355.0-005.0   5   2.08  13.96
005.0-015.0   9   2.03  16.58
015.0-025.0   9   3.01  16.10
025.0-035.0   6   2.89  20.38
035.0-045.0   5   3.23  22.16
045.0-055.0   7   2.76  22.00
055.0-065.0   7   3.13  20.10
065.0-075.0   1    N/A  15.70
075.0-085.0   1    N/A  12.80
085.0-095.0 N/A    N/A    N/A
095.0-105.0 N/A    N/A    N/A
105.0-115.0   1    N/A  18.40
115.0-125.0   2   5.25  15.15
125.0-135.0   2   1.05  18.05
135.0-145.0   3   1.74  19.07
145.0-155.0   4   2.65  15.22
155.0-165.0   3   0.83  16.73
165.0-175.0   3   2.49  10.90
175.0-185.0   5   0.77  14.02
185.0-195.0   9   1.90  11.74
195.0-205.0   8   1.95  10.51
205.0-215.0   5   2.14  10.72
215.0-225.0   7   1.50   8.91
225.0-235.0   4   0.68   9.62
235.0-245.0   6   2.58   7.95
245.0-255.0   5   0.90   6.48
255.0-265.0   1    N/A   9.70
265.0-275.0 N/A    N/A    N/A
275.0-285.0 N/A    N/A    N/A
285.0-295.0 N/A    N/A    N/A
295.0-305.0   2   1.30  11.00
305.0-315.0   3   0.93  18.57
315.0-325.0   1    N/A  15.70
325.0-335.0   6   1.61  11.67
335.0-345.0   2   0.10  12.20
345.0-355.0   4   2.95  11.30
