355.0-005.0   2   1.70  13.00
005.0-015.0   3   1.96  15.17
015.0-025.0   2   4.05  14.35
025.0-035.0   2   0.05  19.95
035.0-045.0   3   2.47  16.93
045.0-055.0   1    N/A  24.50
055.0-065.0   2   0.30  25.30
065.0-075.0   2   0.80  20.80
075.0-085.0   3   1.11  14.17
085.0-095.0   4   4.23  20.73
095.0-105.0   9   2.02  18.20
105.0-115.0   6   1.96  15.25
115.0-125.0   8   3.29  15.28
125.0-135.0   2   0.95  16.15
135.0-145.0   5   1.27  17.52
145.0-155.0   2   2.10  20.00
155.0-165.0   7   2.69  19.71
165.0-175.0   5   1.98  14.86
175.0-185.0   1    N/A  12.90
185.0-195.0   4   1.67   9.78
195.0-205.0   2   1.20   8.70
205.0-215.0   1    N/A   8.10
215.0-225.0   4   0.86   7.77
225.0-235.0   1    N/A   5.70
235.0-245.0   1    N/A  10.20
245.0-255.0   2   2.90  11.00
255.0-265.0   3   1.10  11.47
265.0-275.0   2   1.75  11.25
275.0-285.0   5   1.44  12.00
285.0-295.0  11   2.33  12.77
295.0-305.0   6   3.78  15.13
305.0-315.0   6   2.44  20.22
315.0-325.0   3   0.74  14.87
325.0-335.0   3   1.60  12.03
335.0-345.0   8   1.56  11.24
345.0-355.0   5   1.81  12.02
