355.0-005.0 N/A    N/A    N/A
005.0-015.0   1    N/A  15.40
015.0-025.0   1    N/A  13.80
025.0-035.0   1    N/A  19.40
035.0-045.0   2   2.00  21.80
045.0-055.0   4   2.01  18.73
055.0-065.0   8   2.91  17.74
065.0-075.0  11   5.07  21.11
075.0-085.0   6   2.69  24.78
085.0-095.0   9   3.68  18.86
095.0-105.0   9   2.41  16.23
105.0-115.0   5   1.53  14.70
115.0-125.0   5   3.69  15.20
125.0-135.0 N/A    N/A    N/A
135.0-145.0   1    N/A  12.10
145.0-155.0   2   0.00  13.80
155.0-165.0   1    N/A  13.50
165.0-175.0   1    N/A   9.90
175.0-185.0 N/A    N/A    N/A
185.0-195.0   1    N/A  15.30
195.0-205.0   1    N/A  11.00
205.0-215.0   1    N/A  16.50
215.0-225.0   1    N/A   6.90
225.0-235.0   2   0.30  10.00
235.0-245.0   8   1.75   7.41
245.0-255.0   9   2.90  10.14
255.0-265.0   7   2.50  14.77
265.0-275.0  11   2.56  13.89
275.0-285.0   5   0.85  11.70
285.0-295.0   9   1.50  13.84
295.0-305.0   7   3.92  16.07
305.0-315.0 N/A    N/A    N/A
315.0-325.0 N/A    N/A    N/A
325.0-335.0   3   0.78  10.00
335.0-345.0   1    N/A   9.80
345.0-355.0   1    N/A   7.50
