355.0-005.0   1    N/A  14.20
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A  11.90
035.0-045.0 N/A    N/A    N/A
045.0-055.0 N/A    N/A    N/A
055.0-065.0 N/A    N/A    N/A
065.0-075.0   1    N/A  26.30
075.0-085.0   3   6.39  28.93
085.0-095.0   1    N/A  16.90
095.0-105.0   7   3.67  19.60
105.0-115.0  13   2.35  17.40
115.0-125.0  11   2.49  16.10
125.0-135.0   8   3.16  19.84
135.0-145.0   8   2.91  23.59
145.0-155.0   8   2.95  18.14
155.0-165.0   4   0.47  14.00
165.0-175.0   2   0.10  10.50
175.0-185.0   1    N/A   9.10
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A   5.10
215.0-225.0 N/A    N/A    N/A
225.0-235.0 N/A    N/A    N/A
235.0-245.0 N/A    N/A    N/A
245.0-255.0   1    N/A  13.90
255.0-265.0 N/A    N/A    N/A
265.0-275.0   3   2.77  12.00
275.0-285.0   2   5.65  12.65
285.0-295.0   9   2.05  15.13
295.0-305.0  15   3.96  17.52
305.0-315.0  11   1.41  22.16
315.0-325.0   8   2.99  15.45
325.0-335.0   9   1.88  11.18
335.0-345.0   6   1.74  14.87
345.0-355.0   2   0.55  14.85
