355.0-005.0   7   1.43  10.10
005.0-015.0   9   3.18  12.01
015.0-025.0   4   1.29  16.03
025.0-035.0   6   2.43  16.00
035.0-045.0   5   2.10  18.76
045.0-055.0   6   2.08  18.63
055.0-065.0   1    N/A  20.30
065.0-075.0 N/A    N/A    N/A
075.0-085.0   1    N/A  11.40
085.0-095.0 N/A    N/A    N/A
095.0-105.0 N/A    N/A    N/A
105.0-115.0 N/A    N/A    N/A
115.0-125.0   5   2.19  14.22
125.0-135.0   1    N/A  13.60
135.0-145.0   6   2.48  13.50
145.0-155.0   4   1.89  14.65
155.0-165.0   7   2.83  14.73
165.0-175.0   7   2.65  15.69
175.0-185.0   6   2.01  11.68
185.0-195.0   7   2.02  10.11
195.0-205.0   6   2.47   9.95
205.0-215.0   6   3.43   8.40
215.0-225.0   2   0.30   6.60
225.0-235.0   5   1.88   5.18
235.0-245.0   5   0.57   4.26
245.0-255.0 N/A    N/A    N/A
255.0-265.0   1    N/A  11.40
265.0-275.0 N/A    N/A    N/A
275.0-285.0 N/A    N/A    N/A
285.0-295.0 N/A    N/A    N/A
295.0-305.0   2   0.65  10.35
305.0-315.0   4   1.22  13.20
315.0-325.0   4   1.72  10.05
325.0-335.0   6   1.17   7.78
335.0-345.0   5   0.78   9.92
345.0-355.0   8   2.15   9.36
