355.0-005.0   1    N/A  11.30
005.0-015.0   1    N/A  13.70
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A  18.60
035.0-045.0 N/A    N/A    N/A
045.0-055.0   7   3.79  18.13
055.0-065.0   6   2.34  19.87
065.0-075.0  11   2.68  21.34
075.0-085.0   9   3.78  23.27
085.0-095.0  10   3.35  19.45
095.0-105.0   8   2.37  18.86
105.0-115.0   9   3.10  15.61
115.0-125.0   2   0.40  10.10
125.0-135.0   1    N/A  12.90
135.0-145.0   2   0.80  10.90
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0   2   1.95   8.75
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A  19.50
215.0-225.0 N/A    N/A    N/A
225.0-235.0   5   2.32   8.56
235.0-245.0   4   2.10   7.65
245.0-255.0   9   2.27   8.93
255.0-265.0  10   2.48  13.56
265.0-275.0  11   2.56  13.86
275.0-285.0   7   1.75  12.57
285.0-295.0  11   2.29  12.31
295.0-305.0   4   3.39  15.40
305.0-315.0   2   2.80  13.30
315.0-325.0 N/A    N/A    N/A
325.0-335.0   2   0.35  11.35
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
