355.0-005.0   5   2.60  13.66
005.0-015.0   3   2.40  15.17
015.0-025.0   9   2.83  17.53
025.0-035.0  12   3.94  22.08
035.0-045.0  11   4.00  24.45
045.0-055.0   9   4.16  22.77
055.0-065.0   7   2.97  21.01
065.0-075.0   1    N/A  14.90
075.0-085.0   1    N/A  11.40
085.0-095.0 N/A    N/A    N/A
095.0-105.0 N/A    N/A    N/A
105.0-115.0 N/A    N/A    N/A
115.0-125.0 N/A    N/A    N/A
125.0-135.0 N/A    N/A    N/A
135.0-145.0 N/A    N/A    N/A
145.0-155.0   2   1.05  18.25
155.0-165.0   4   1.34  13.95
165.0-175.0   4   1.65  13.25
175.0-185.0   4   4.23   9.47
185.0-195.0   4   0.34  10.07
195.0-205.0   8   1.16   8.46
205.0-215.0  10   1.23   9.71
215.0-225.0   9   2.66   9.61
225.0-235.0   9   1.31   7.22
235.0-245.0   7   1.59   6.34
245.0-255.0   6   2.73   6.10
255.0-265.0   1    N/A  11.40
265.0-275.0 N/A    N/A    N/A
275.0-285.0 N/A    N/A    N/A
285.0-295.0 N/A    N/A    N/A
295.0-305.0 N/A    N/A    N/A
305.0-315.0 N/A    N/A    N/A
315.0-325.0 N/A    N/A    N/A
325.0-335.0   2   0.40  12.70
335.0-345.0   4   0.43  11.20
345.0-355.0   4   0.70  13.40
