355.0-005.0   2   0.35  11.65
005.0-015.0   3   2.19  14.73
015.0-025.0   3   1.28  15.57
025.0-035.0  12   3.92  19.95
035.0-045.0  16   3.65  25.29
045.0-055.0  11   1.86  23.67
055.0-065.0  11   2.93  23.49
065.0-075.0   3   4.97  26.90
075.0-085.0   2   8.35  28.95
085.0-095.0 N/A    N/A    N/A
095.0-105.0   1    N/A  27.90
105.0-115.0   1    N/A  24.40
115.0-125.0 N/A    N/A    N/A
125.0-135.0 N/A    N/A    N/A
135.0-145.0 N/A    N/A    N/A
145.0-155.0 N/A    N/A    N/A
155.0-165.0   1    N/A  10.30
165.0-175.0   2   0.75  11.15
175.0-185.0   1    N/A  10.10
185.0-195.0   4   1.89   9.55
195.0-205.0   3   0.90  10.93
205.0-215.0   6   3.78   8.67
215.0-225.0  15   1.78   6.89
225.0-235.0  12   1.50   5.97
235.0-245.0   8   1.83   5.59
245.0-255.0   9   1.47   7.39
255.0-265.0   3   0.60  11.43
265.0-275.0   2   3.95   9.65
275.0-285.0   1    N/A  15.90
285.0-295.0   1    N/A  13.40
295.0-305.0 N/A    N/A    N/A
305.0-315.0 N/A    N/A    N/A
315.0-325.0 N/A    N/A    N/A
325.0-335.0 N/A    N/A    N/A
335.0-345.0   1    N/A  10.30
345.0-355.0   2   0.65  11.25
