355.0-005.0   1    N/A  14.20
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   2   1.95  17.25
035.0-045.0   2   1.55  20.75
045.0-055.0   3   2.31  26.03
055.0-065.0   8   2.69  21.76
065.0-075.0   6   3.33  20.30
075.0-085.0  14   4.00  21.08
085.0-095.0  15   3.32  17.55
095.0-105.0   4   0.72  19.20
105.0-115.0   3   1.51  20.40
115.0-125.0   4   2.83  19.85
125.0-135.0   2   1.75  17.35
135.0-145.0   2   2.15  14.75
145.0-155.0   1    N/A  19.30
155.0-165.0 N/A    N/A    N/A
165.0-175.0   1    N/A  10.30
175.0-185.0   1    N/A   9.10
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0   2   2.05   5.45
215.0-225.0   1    N/A   4.60
225.0-235.0   3   0.97   6.53
235.0-245.0   4   2.73  10.65
245.0-255.0   6   3.84  13.82
255.0-265.0   9   3.22  15.94
265.0-275.0  16   2.22  15.16
275.0-285.0  12   1.72  14.22
285.0-295.0   2   0.50  14.60
295.0-305.0   4   0.53  17.12
305.0-315.0   4   2.45  17.50
315.0-325.0   2   4.10  16.40
325.0-335.0   1    N/A  12.30
335.0-345.0 N/A    N/A    N/A
345.0-355.0   1    N/A  15.30
