355.0-005.0   9   2.39  12.76
005.0-015.0   6   1.47  15.77
015.0-025.0   5   1.83  15.98
025.0-035.0   2   0.95  23.35
035.0-045.0   1    N/A  21.40
045.0-055.0   5   3.66  19.46
055.0-065.0   2   2.90  22.30
065.0-075.0   1    N/A  20.10
075.0-085.0   4   4.02  16.62
085.0-095.0   2   3.95  24.15
095.0-105.0   1    N/A  20.10
105.0-115.0   8   2.20  17.59
115.0-125.0   6   2.70  15.92
125.0-135.0   5   2.53  13.40
135.0-145.0   5   2.30  15.64
145.0-155.0   1    N/A  18.30
155.0-165.0   3   1.44  21.13
165.0-175.0   3   3.87  16.97
175.0-185.0   8   2.82  11.70
185.0-195.0   6   1.09  10.87
195.0-205.0   4   1.61   8.25
205.0-215.0   3   0.29   8.27
215.0-225.0   1    N/A   8.30
225.0-235.0   4   1.40   7.87
235.0-245.0   2   0.45   9.55
245.0-255.0   2   3.20  12.20
255.0-265.0   3   2.01  10.67
265.0-275.0   1    N/A   8.00
275.0-285.0   3   1.40  12.13
285.0-295.0   6   1.60  13.83
295.0-305.0   8   2.39  16.79
305.0-315.0   3   2.99  12.70
315.0-325.0   7   3.56  14.94
325.0-335.0   1    N/A  13.50
335.0-345.0   3   0.83  12.37
345.0-355.0   2   1.00  12.60
