355.0-005.0   6   2.12  10.87
005.0-015.0  16   3.50  14.11
015.0-025.0  10   1.92  15.92
025.0-035.0   6   1.03  17.38
035.0-045.0   5   1.96  21.08
045.0-055.0   1    N/A  24.50
055.0-065.0   2   2.15  28.55
065.0-075.0   1    N/A  26.30
075.0-085.0 N/A    N/A    N/A
085.0-095.0 N/A    N/A    N/A
095.0-105.0   2   1.05  28.95
105.0-115.0 N/A    N/A    N/A
115.0-125.0   1    N/A  15.40
125.0-135.0 N/A    N/A    N/A
135.0-145.0   5   2.45  12.22
145.0-155.0   4   0.84  13.33
155.0-165.0   5   2.23  15.64
165.0-175.0   5   3.55  20.12
175.0-185.0   4   1.20  19.48
185.0-195.0  13   3.45  11.74
195.0-205.0  12   1.78   9.97
205.0-215.0   5   2.26   8.44
215.0-225.0   6   1.69   7.97
225.0-235.0   3   0.95   7.03
235.0-245.0   1    N/A   5.10
245.0-255.0   2   0.30  13.60
255.0-265.0 N/A    N/A    N/A
265.0-275.0 N/A    N/A    N/A
275.0-285.0   1    N/A  15.90
285.0-295.0   1    N/A  13.70
295.0-305.0 N/A    N/A    N/A
305.0-315.0   1    N/A  15.70
315.0-325.0   4   0.73  11.80
325.0-335.0   4   1.29  10.75
335.0-345.0   4   1.02  11.85
345.0-355.0   6   1.03  11.20
