355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A  11.10
035.0-045.0   1    N/A  12.10
045.0-055.0   2   4.90  16.00
055.0-065.0   4   3.15  23.42
065.0-075.0   7   4.14  21.86
075.0-085.0  13   1.58  17.17
085.0-095.0  12   2.13  13.83
095.0-105.0  11   2.28  15.05
105.0-115.0  11   3.45  16.43
115.0-125.0   1    N/A  10.50
125.0-135.0   1    N/A  15.00
135.0-145.0   3   3.48  12.77
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0   1    N/A  11.90
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A  11.20
215.0-225.0   1    N/A   5.10
225.0-235.0   1    N/A   7.70
235.0-245.0   2   4.40   8.70
245.0-255.0   5   1.62   7.60
255.0-265.0   9   2.00  13.62
265.0-275.0  15   3.01  14.83
275.0-285.0  10   1.61  11.99
285.0-295.0  11   1.61  12.45
295.0-305.0   7   2.86  16.57
305.0-315.0   2   4.10  14.60
315.0-325.0   3   2.21  11.17
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0   1    N/A  11.90
