355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0   2   1.05  15.05
025.0-035.0 N/A    N/A    N/A
035.0-045.0   2   1.85  22.25
045.0-055.0   4   5.36  22.07
055.0-065.0   9   4.54  22.16
065.0-075.0  10   5.65  21.48
075.0-085.0   6   1.89  22.10
085.0-095.0   8   3.51  20.09
095.0-105.0   7   3.36  13.54
105.0-115.0   6   2.29  17.47
115.0-125.0   5   3.54  14.66
125.0-135.0   2   0.30  12.70
135.0-145.0   2   0.20  10.90
145.0-155.0 N/A    N/A    N/A
155.0-165.0   3   1.21  14.07
165.0-175.0   1    N/A  17.90
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0   2   0.40  12.40
205.0-215.0 N/A    N/A    N/A
215.0-225.0   2   2.05   8.35
225.0-235.0   2   0.65   8.05
235.0-245.0   8   2.00   8.84
245.0-255.0   9   2.10   9.91
255.0-265.0   6   2.27  13.63
265.0-275.0   6   1.50  13.93
275.0-285.0   9   2.29  11.73
285.0-295.0   8   3.04  12.25
295.0-305.0   4   1.41  16.80
305.0-315.0   5   2.86  14.96
315.0-325.0   2   0.00   8.50
325.0-335.0 N/A    N/A    N/A
335.0-345.0   2   0.10  10.80
345.0-355.0   2   0.55  10.95
