355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A  11.90
035.0-045.0 N/A    N/A    N/A
045.0-055.0 N/A    N/A    N/A
055.0-065.0   1    N/A  26.40
065.0-075.0   2   3.30  29.00
075.0-085.0   2   1.90  27.20
085.0-095.0   5   2.20  20.32
095.0-105.0  17   2.74  15.84
105.0-115.0  10   4.33  16.23
115.0-125.0   9   1.87  19.72
125.0-135.0   6   2.61  20.53
135.0-145.0   8   5.13  18.74
145.0-155.0   4   1.83  17.08
155.0-165.0   2   2.40  13.80
165.0-175.0   1    N/A  10.30
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A   5.10
215.0-225.0 N/A    N/A    N/A
225.0-235.0 N/A    N/A    N/A
235.0-245.0 N/A    N/A    N/A
245.0-255.0   2   0.05  13.25
255.0-265.0   2   2.25  13.95
265.0-275.0   2   4.85  14.85
275.0-285.0   7   0.54  13.09
285.0-295.0  15   2.71  11.77
295.0-305.0  15   4.00  18.91
305.0-315.0   6   2.37  23.85
315.0-325.0   7   1.89  15.34
325.0-335.0   6   2.10  10.42
335.0-345.0   4   1.78  12.97
345.0-355.0   1    N/A  15.30
