355.0-005.0   8   1.59  13.05
005.0-015.0   5   2.17  12.66
015.0-025.0   8   1.96  14.48
025.0-035.0   5   1.66  19.30
035.0-045.0   6   2.78  18.40
045.0-055.0   5   1.55  20.66
055.0-065.0   6   3.54  23.63
065.0-075.0   3   1.64  20.60
075.0-085.0 N/A    N/A    N/A
085.0-095.0 N/A    N/A    N/A
095.0-105.0   1    N/A  15.30
105.0-115.0   3   3.62  13.30
115.0-125.0   2   0.50  19.80
125.0-135.0   1    N/A  18.50
135.0-145.0   5   2.96  14.44
145.0-155.0   3   0.71  14.90
155.0-165.0   2   5.05  13.95
165.0-175.0   4   2.41  12.60
175.0-185.0   8   1.76  12.35
185.0-195.0   5   2.37   9.22
195.0-205.0   7   2.15   9.13
205.0-215.0   4   0.81  10.70
215.0-225.0   6   1.45   6.30
225.0-235.0   5   0.73   7.30
235.0-245.0   5   1.46   4.76
245.0-255.0   5   1.68   7.78
255.0-265.0   1    N/A   6.80
265.0-275.0 N/A    N/A    N/A
275.0-285.0   1    N/A  13.80
285.0-295.0   2   0.30   9.60
295.0-305.0   3   2.57  14.87
305.0-315.0 N/A    N/A    N/A
315.0-325.0   5   3.16  13.22
325.0-335.0   4   1.09  11.78
335.0-345.0   2   2.25  11.85
345.0-355.0   4   2.76  11.15
