355.0-005.0 N/A    N/A    N/A
005.0-015.0   2   2.35  16.35
015.0-025.0 N/A    N/A    N/A
025.0-035.0 N/A    N/A    N/A
035.0-045.0   1    N/A  16.00
045.0-055.0   5   4.17  17.22
055.0-065.0   4   1.06  18.30
065.0-075.0   7   3.84  21.79
075.0-085.0  10   3.22  21.35
085.0-095.0  10   2.32  14.69
095.0-105.0   7   1.76  16.40
105.0-115.0   6   1.72  15.93
115.0-125.0   8   3.32  15.70
125.0-135.0   2   1.15  16.55
135.0-145.0   2   2.05  13.15
145.0-155.0   1    N/A  14.40
155.0-165.0   2   1.50  12.80
165.0-175.0   1    N/A   9.90
175.0-185.0 N/A    N/A    N/A
185.0-195.0   2   2.20  13.50
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0 N/A    N/A    N/A
225.0-235.0   5   2.05   8.08
235.0-245.0   4   1.13   7.38
245.0-255.0   5   2.27   8.50
255.0-265.0   9   2.12  15.07
265.0-275.0  12   3.20  14.46
275.0-285.0   6   1.00  10.77
285.0-295.0   5   2.31  11.50
295.0-305.0   9   3.28  15.49
305.0-315.0   5   2.28  16.64
315.0-325.0   2   1.95  10.45
325.0-335.0 N/A    N/A    N/A
335.0-345.0   3   0.26  11.83
345.0-355.0   1    N/A   7.50
