355.0-005.0 194   1.69  12.27
005.0-015.0 204   2.17  14.64
015.0-025.0 218   2.32  16.02
025.0-035.0 264   2.88  17.87
035.0-045.0 264   2.76  20.18
045.0-055.0 284   3.44  21.48
055.0-065.0 370   3.50  21.87
065.0-075.0 366   3.10  21.12
075.0-085.0 358   3.30  20.14
085.0-095.0 396   3.43  18.39
095.0-105.0 330   2.48  17.70
105.0-115.0 292   2.20  16.92
115.0-125.0 272   2.53  16.03
125.0-135.0 180   2.36  16.93
135.0-145.0 200   2.34  16.46
145.0-155.0 168   2.40  16.38
155.0-165.0 166   2.42  15.42
165.0-175.0 162   2.13  15.05
175.0-185.0 178   2.01  13.27
185.0-195.0 188   1.69  11.60
195.0-205.0 214   1.48  10.36
205.0-215.0 234   1.66   9.84
215.0-225.0 240   1.43   8.12
225.0-235.0 250   1.46   7.86
235.0-245.0 316   1.71   8.01
245.0-255.0 340   2.21  10.13
255.0-265.0 358   2.70  12.89
265.0-275.0 430   2.39  13.22
275.0-285.0 314   1.76  12.42
285.0-295.0 342   1.82  13.08
295.0-305.0 306   2.45  16.26
305.0-315.0 216   2.87  17.51
315.0-325.0 214   2.20  13.86
325.0-335.0 186   1.23  11.28
335.0-345.0 172   1.35  11.53
345.0-355.0 170   1.35  11.92
