355.0-005.0  50   1.87  12.62
005.0-015.0  51   2.34  15.15
015.0-025.0  70   2.46  16.62
025.0-035.0  77   3.10  18.86
035.0-045.0  82   2.72  20.01
045.0-055.0  74   2.72  21.97
055.0-065.0  89   4.12  21.35
065.0-075.0  92   3.12  21.31
075.0-085.0  84   3.79  20.54
085.0-095.0  89   4.02  18.82
095.0-105.0  80   2.70  17.14
105.0-115.0  69   2.01  16.81
115.0-125.0  55   2.33  15.49
125.0-135.0  44   2.09  16.21
135.0-145.0  36   2.07  16.11
145.0-155.0  36   3.19  16.27
155.0-165.0  40   1.72  14.87
165.0-175.0  37   2.51  16.17
175.0-185.0  48   1.85  13.25
185.0-195.0  45   1.48  11.95
195.0-205.0  65   1.59  10.57
205.0-215.0  79   1.38   9.76
215.0-225.0  68   1.06   8.19
225.0-235.0  69   1.10   7.65
235.0-245.0  82   1.63   8.18
245.0-255.0  81   2.16  11.06
255.0-265.0  92   3.43  12.82
265.0-275.0  99   1.81  13.60
275.0-285.0  75   1.39  12.53
285.0-295.0  82   1.66  13.33
295.0-305.0  62   2.15  15.47
305.0-315.0  48   2.69  16.53
315.0-325.0  41   1.91  13.62
325.0-335.0  35   1.08  11.31
335.0-345.0  41   1.47  11.43
345.0-355.0  39   1.33  11.84
